类别：金融

月份,cocoa: (全球)
2004-01,37
2004-02,39
2004-03,0
2004-04,34
2004-05,26
2004-06,27
2004-07,29
2004-08,20
2004-09,20
2004-10,38
2004-11,37
2004-12,32
2005-01,35
2005-02,35
2005-03,28
2005-04,27
2005-05,31
2005-06,23
2005-07,26
2005-08,26
2005-09,24
2005-10,25
2005-11,25
2005-12,23
2006-01,32
2006-02,26
2006-03,17
2006-04,18
2006-05,19
2006-06,23
2006-07,25
2006-08,28
2006-09,15
2006-10,23
2006-11,17
2006-12,18
2007-01,18
2007-02,23
2007-03,30
2007-04,22
2007-05,20
2007-06,21
2007-07,22
2007-08,19
2007-09,19
2007-10,20
2007-11,16
2007-12,19
2008-01,22
2008-02,27
2008-03,25
2008-04,23
2008-05,18
2008-06,24
2008-07,21
2008-08,22
2008-09,19
2008-10,22
2008-11,19
2008-12,23
2009-01,21
2009-02,20
2009-03,20
2009-04,20
2009-05,19
2009-06,17
2009-07,17
2009-08,19
2009-09,19
2009-10,23
2009-11,19
2009-12,17
2010-01,18
2010-02,20
2010-03,17
2010-04,17
2010-05,18
2010-06,18
2010-07,35
2010-08,28
2010-09,25
2010-10,22
2010-11,24
2010-12,22
2011-01,29
2011-02,31
2011-03,31
2011-04,30
2011-05,23
2011-06,23
2011-07,23
2011-08,23
2011-09,20
2011-10,21
2011-11,23
2011-12,23
2012-01,23
2012-02,24
2012-03,21
2012-04,21
2012-05,20
2012-06,19
2012-07,20
2012-08,21
2012-09,21
2012-10,21
2012-11,22
2012-12,18
2013-01,20
2013-02,21
2013-03,20
2013-04,17
2013-05,20
2013-06,20
2013-07,21
2013-08,19
2013-09,18
2013-10,22
2013-11,21
2013-12,20
2014-01,20
2014-02,24
2014-03,22
2014-04,20
2014-05,21
2014-06,20
2014-07,21
2014-08,20
2014-09,20
2014-10,32
2014-11,26
2014-12,23
2015-01,24
2015-02,24
2015-03,22
2015-04,22
2015-05,20
2015-06,21
2015-07,20
2015-08,22
2015-09,22
2015-10,21
2015-11,21
2015-12,21
2016-01,25
2016-02,25
2016-03,21
2016-04,21
2016-05,22
2016-06,24
2016-07,24
2016-08,22
2016-09,23
2016-10,25
2016-11,27
2016-12,29
2017-01,29
2017-02,35
2017-03,31
2017-04,30
2017-05,30
2017-06,24
2017-07,29
2017-08,29
2017-09,28
2017-10,28
2017-11,30
2017-12,31
2018-01,30
2018-02,26
2018-03,40
2018-04,35
2018-05,29
2018-06,28
2018-07,27
2018-08,27
2018-09,25
2018-10,32
2018-11,31
2018-12,31
2019-01,28
2019-02,27
2019-03,27
2019-04,28
2019-05,26
2019-06,27
2019-07,28
2019-08,28
2019-09,30
2019-10,30
2019-11,29
2019-12,29
2020-01,30
2020-02,30
2020-03,28
2020-04,30
2020-05,26
2020-06,33
2020-07,35
2020-08,31
2020-09,31
2020-10,28
2020-11,31
2020-12,31
2021-01,28
2021-02,28
2021-03,26
2021-04,27
2021-05,27
2021-06,27
2021-07,27
2021-08,25
2021-09,25
2021-10,28
2021-11,32
2021-12,32
2022-01,30
2022-02,33
2022-03,30
2022-04,28
2022-05,28
2022-06,29
2022-07,28
2022-08,29
2022-09,27
2022-10,32
2022-11,30
2022-12,27
2023-01,26
2023-02,24
2023-03,23
2023-04,23
2023-05,23
2023-06,26
2023-07,28
2023-08,30
2023-09,34
2023-10,32
2023-11,34
2023-12,34
2024-01,33
2024-02,55
2024-03,92
2024-04,100
2024-05,91
2024-06,69
2024-07,66
2024-08,60
2024-09,70
2024-10,64
2024-11,69
2024-12,83
2025-01,73
2025-02,70
2025-03,67
